rox_inv_id,Products,"Date of Delivery",Total,rox_ord_status
RB-0107554,"Customized Cake - 1",2023-02-11,6500,Pending
RB-0107553,"Customized Cake - 1",2023-02-12,12000,Pending
RB-0107552,"EP169 - The Amazing Spider-man 2Kg Printed Cake - 1",2023-02-09,4250,Pending
RB-0107551,"400g-Ribbon Cake - 1 ,Chocolate Muffin - 5 ,Vanilla Muffin - 5 ,Chocolate Cupcake - 5 ,Vanilla Cupcake - 5 ,Apple Cake - 5 ,325g-Butter Cake - 2 ,1kg-Butter Cake - 1",2023-02-08,6000,Pending
RB-0107550,"Customized Cake - 1",2023-02-08,7500,Pending
RB-0107549,"1kg-Butter Cake - 1",2023-02-08,1400,Pending
RB-0107548,"2kg-Hundred Roses - 1",2023-02-10,4500,Pending
RB-0107547,"Fish Pastry - 50",2023-02-08,5000,Pending
RB-0107546,"Yellow Rice-Chicken - 36 ,Yellow Rice-Vegetarian - 4",2023-02-10,15080,Pending
RB-0107545,"Customized Cake - 1 ,Fudge Gateaux - 30",2023-02-09,11900,Pending
RB-0107544,"Customized Cake - 1",2023-02-09,2250,Pending
RB-0107543,"Vegetable Pie - 3 ,Chicken Pie - 47 ,Vegetable Chinese Roll - 3 ,Chicken Chinese Roll - 47",2023-02-08,11440,Pending
RB-0107542,"1kg-Ribbon Cake - 1",2023-02-10,1600,Pending
RB-0107541,"1kg-Butter Cake - 6",2023-02-08,8400,Pending
RB-0107540,"Bread Loaf - 40",2023-02-08,7200,Pending
RB-0107539,"Kimbula Bun - 300",2023-02-08,22500,Pending
RB-0107538,"1kg-Ribbon Cake - 1",2023-02-09,1600,Pending
RB-0107537,"Keeri Samba -Fish - 500",2023-02-08,170000,Pending
RB-0107536,"Customized Cake - 1",2023-02-10,7500,Pending
RB-0107535,"Customized Cake - 1",2023-02-09,7500,Pending
RB-0107534,"OCCP-78   2kg - 1",2023-02-09,5500,Pending
RB-0107533,"2kg-Chocolate Fudge - 1",2023-02-09,7000,Pending
RB-0107532,"OCC-06   2kg - 1",2023-02-09,5000,Pending
RB-0107531,"Tea Bun - 150",2023-02-08,11250,Pending
RB-0107530,"Chicken Pie - 60",2023-02-08,7200,Pending
RB-0107529,"Eclairs - 20 ,Fish Pastry - 20 ,Fish Chinese Roll - 20 ,Vegetable Pizza - 2 ,Chicken Pizza - 18",2023-02-08,8960,Pending
RB-0107528,"Vegetable Pastry - 5 ,Chicken Burger - 6 ,Chicken Croissant - 5 ,Bread Loaf - 20 ,Tea Bun - 5 ,400g-Chocolate Cake - 2 ,Fish Pastry - 6 ,Chicken Pastry - 6 ,Fish Hot-Dog - 6 ,Omelet Bun - 6 ,Chicken Chinese Roll - 8 ,Fish Chinese Roll - 8 ,Cheese & Chicken Bun - 5 ,Fish bun - 8",2023-02-08,12435,Pending
RB-0107527,"Customized Cake - 1",2023-02-07,3000,Pending
RB-0107526,"Bread & Butter Pudding  - 10 ,Pyramid Gateaux - 5 ,Coffee Gateaux - 5 ,Nougat Gateaux - 5 ,Chocolate Swiss Roll - 5 ,Chocolate Gateaux - 5",2023-02-08,5950,Pending
RB-0107525,"2kg ART-36 - 1",2023-02-08,6000,Pending
RB-0107524,"Customized Cake - 1",2023-02-10,3000,Pending
RB-0107523,"Fish Pastry - 20 ,Chicken Burger - 6 ,Chicken Croissant - 6 ,Sandwich Bread - Small - 15 ,Fish Rotty - 5 ,Vegetable Rotty - 5 ,Chicken Rotty - 5 ,Pol Rotty With Katta Sambol - 10 ,Seenisambol Bun - 6 ,Fish bun - 20 ,Kimbula Bun - 20",2023-02-08,13010,Pending
RB-0107521,"Kimbula Bun - 5 ,Kimbula Bun - 5 ,Burger Bun - 20 ,Burger Bun - 20 ,Hot Dog Bun - 30 ,Hot Dog Bun - 30 ,Cheese & Chicken Bun - 10 ,Cheese & Chicken Bun - 10 ,Chicken Croissant - 30 ,Chicken Croissant - 30",2023-02-08,15350,Pending
RB-0107520,"Customized Cake - 1",2023-02-10,6750,Pending
RB-0107519,"EP151 - Sonic 2Kg Printed Cake - 1",2023-02-09,4250,Pending
RB-0107518,"Customized Cake - 1",2023-02-10,3000,Pending
RB-0107517,"Customized Cake - 1",2023-02-09,3000,Pending
RB-0107516,"Customized Cake - 1",2023-02-08,3500,Pending
RB-0107515,"Jumbo Sandwich Bread - 52",2023-02-07,20800,Pending
RB-0107514,"EP042 - Strawberry Girl 2Kg Printed Cake - 1",2023-02-09,4250,Pending
RB-0107513,"Dinner Buns (1/2) - 40",2023-02-08,1800,Pending
RB-0107512,"Naan Bread - 15",2023-02-09,3750,Pending
RB-0107511,"2kg-Ribbon Cake - 1",2023-02-08,3200,Pending
RB-0107510,"Little Mermain - 1",2023-02-09,4250,Pending
RB-0107509,"EP170 - Spider-man Action 2Kg Printed Cake - 1",2023-02-08,4250,Pending
RB-0107508,"Customized Cake - 1 ,Coffee Gateaux - 22",2023-02-08,8540,Pending
RB-0107507,"1kg-Loving You Heart Cake - 1",2023-02-08,2500,Pending
RB-0107506,"2kg-Ribbon Cake - 1",2023-02-08,3200,Pending
RB-0107505,"Tea Bun - 40",2023-02-07,3000,Pending
RB-0107504,"Fish bun - 50",2023-02-07,4750,Pending
